# Repository directory tree
# Generated UTC: 2026-05-20T10:32:02.2218664Z
# Contains: directories only. Machine-readable equivalent: dir_tree.json

.
├── .aide/
│   ├── adapters/
│   │   └── templates/
│   ├── cache/
│   ├── changelog/
│   │   └── templates/
│   ├── commands/
│   ├── context/
│   ├── controller/
│   ├── evals/
│   │   ├── golden-tasks/
│   │   │       │   │   └── dsu/
│   │   │       │   ├── invocation/
│   │   │       │   ├── job/
│   │   │       │   ├── jobs/
│   │   │       │   ├── log/
│   │   │       │   ├── manifest/
│   │   │       │   ├── plan/
│   │   │       │   ├── platform_iface/
│   │   │       │   ├── report/
│   │   │       │   ├── resolve/
│   │   │       │   ├── splat/
│   │   │       │   ├── state/
│   │   │       │   ├── tlv/
│   │   │       │   ├── txn/
│   │   │       │   └── util/
│   │   │       └── tests/
│   │   │           ├── fixtures/
│   │   │           │   ├── manifests/
│   │   │           │   ├── payloads/
│   │   │           │   │   ├── base/
│   │   │           │   │   │   ├── packs/
│   │   │           │   │   │   ├── runtime/
│   │   │           │   │   │   └── tools/
│   │   │           │   │   ├── v1/
│   │   │           │   │   │   └── data/
│   │   │           │   │   └── v2/
│   │   │           │   │       └── data/
│   │   │           │   └── user_data/
│   │   │           └── golden/
│   │   │               └── cli/
│   │   ├── setup_package_scripts/
│   │   ├── source/
│   │   │   └── tests/
│   │   ├── tools_cmake/
│   │   └── tools_shared_legacy/
│   ├── quarantine/
│   │   ├── canon-spine/
│   │   │   ├── contracts/
│   │   │   │   └── capabilities/
│   │   │   ├── runtime/
│   │   │   │   └── control/
│   │   │   └── tools/
│   │   │       ├── auditx/
│   │   │       ├── compatx/
│   │   │       ├── controlx/
│   │   │       ├── performx/
│   │   │       └── securex/
│   │   ├── control/
│   │   ├── data/
│   │   └── governance/
│   └── superseded/
├── cmake/
│   ├── ide/
│   │   └── templates/
│   │       ├── codewarrior/
│   │       ├── vc6/
│   │       └── vc71/
│   ├── legacy_libs/
│   └── toolchains/
├── content/
│   ├── bundles/
│   │   ├── bundle.base.lab/
│   │   └── bundle.null/
│   ├── defaults/
│   │   └── profiles/
│   ├── domains/
│   │   ├── astronomy/
│   │   │   └── sol/
│   │   ├── cosmology/
│   │   ├── mechanics/
│   │   ├── reality/
│   │   ├── world/
│   │   │   ├── milky_way/
│   │   │   └── sol/
│   │   │       ├── earth/
│   │   │       │   ├── earth.climate/
│   │   │       │   ├── earth.regions/
│   │   │       │   └── earth.surfaces/
│   │   │       ├── sol.belts/
│   │   │       ├── sol.bodies/
│   │   │       └── sol.moons/
│   │   └── worldgen/
│   │       └── real/
│   │           ├── earth/
│   │           ├── milky_way/
│   │           └── sol_system/
│   ├── examples/
│   │   └── modding/
│   │       └── launcher_example/
│   ├── packs/
│   │   ├── blueprint/
│   │   │   └── blueprints.default.m1/
│   │   │       └── data/
│   │   ├── core/
│   │   │   ├── constraints.worldgen.default_lab/
│   │   │   │   └── data/
│   │   │   ├── org.dominium.base.body.earth_macro/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.base.rules/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.base.scenarios.minimal/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.base.system.sol/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.base.topology/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.base.universe.milkyway/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.core.assemblies.extended/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.civ_stress.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.contracts.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.ecology.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.enforcement.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.hazards.extended/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.infrastructure.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.institutions.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.instruments.extended/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.instruments.inspection/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.interaction.baseline/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.interfaces/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.law.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.materials.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.materials.extended/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.parts.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.parts.extended/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.population.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.processes.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.processes.extended/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.quality.extended/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.settlements.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.signals.baseline/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.signals.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.standards.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.standards.certification/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.standards.extended/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.trade.basic/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.core.units/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── pack.core.camera/
│   │   │   │   └── data/
│   │   │   ├── pack.core.diegetic_instruments/
│   │   │   │   └── data/
│   │   │   ├── pack.core.logic_base/
│   │   │   │   └── data/
│   │   │   ├── pack.core.runtime/
│   │   │   │   └── data/
│   │   │   ├── pack.server.governance/
│   │   │   │   └── data/
│   │   │   ├── policy.activation.default_lab/
│   │   │   │   └── data/
│   │   │   ├── policy.budget.default_lab/
│   │   │   │   └── data/
│   │   │   ├── policy.fidelity.default_lab/
│   │   │   │   └── data/
│   │   │   └── system_templates.base/
│   │   │       └── data/
│   │   ├── derived/
│   │   │   ├── org.dominium.earth.tiles/
│   │   │   │   └── data/
│   │   │   └── org.dominium.sol.ephemeris/
│   │   │       └── data/
│   │   ├── domain/
│   │   │   ├── astronomy.milky_way/
│   │   │   │   └── data/
│   │   │   ├── astronomy.sol/
│   │   │   │   └── data/
│   │   │   ├── org.dominium.content.institutions.placeholder/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.content.resources.placeholder/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.content.terrain.placeholder/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.content.worldgen.placeholder/
│   │   │   │   ├── data/
│   │   │   │   └── docs/
│   │   │   ├── org.dominium.epistemics.core/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.lib.on_planet.primitives/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.lib.on_planet.processes/
│   │   │   │   └── content/
│   │   │   ├── pack.domain.navigation/
│   │   │   │   ├── assets/
│   │   │   │   └── data/
│   │   │   ├── physics.default.realistic/
│   │   │   │   └── data/
│   │   │   │       └── universe/
│   │   │   └── planet.earth/
│   │   │       └── data/
│   │   ├── example/
│   │   │   ├── org.dominium.examples.false_science/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.examples.lost_civilization/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.examples.magic_earth/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.examples.multicosmology/
│   │   │   │   └── content/
│   │   │   └── org.dominium.examples.realistic_earth/
│   │   │       └── content/
│   │   ├── experience/
│   │   │   ├── pack.experience.lab_galaxy/
│   │   │   │   ├── data/
│   │   │   │   ├── scenarios/
│   │   │   │   └── ui/
│   │   │   ├── profile.lab.developer/
│   │   │   │   └── data/
│   │   │   ├── profile.observer.exploration/
│   │   │   │   └── data/
│   │   │   ├── profile.player.default/
│   │   │   │   └── data/
│   │   │   └── profile.spectator.default/
│   │   │       └── data/
│   │   ├── law/
│   │   │   ├── law.admin.lab/
│   │   │   │   └── data/
│   │   │   ├── law.lab.unrestricted/
│   │   │   │   └── data/
│   │   │   ├── law.observer.truth/
│   │   │   │   └── data/
│   │   │   ├── law.player.diegetic_default/
│   │   │   │   └── data/
│   │   │   ├── law.spectator.limited/
│   │   │   │   └── data/
│   │   │   └── pack.law.observe_only/
│   │   │       └── data/
│   │   ├── official/
│   │   │   └── pack.sol.pin_minimal/
│   │   │       └── data/
│   │   │           └── overlay/
│   │   ├── reality/
│   │   │   ├── org.dominium.earth.srtm/
│   │   │   │   └── data/
│   │   │   │       └── raw/
│   │   │   ├── org.dominium.realities.alchemy/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.realities.alt_physics/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.realities.astrology/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.realities.hyperspace/
│   │   │   │   └── content/
│   │   │   ├── org.dominium.realities.magic/
│   │   │   │   └── content/
│   │   │   └── org.dominium.sol.spice/
│   │   │       └── data/
│   │   │           └── kernels/
│   │   ├── representation/
│   │   │   └── pack.representation.base/
│   │   │       └── data/
│   │   ├── spec/
│   │   │   └── specs.default.realistic.m1/
│   │   │       └── data/
│   │   ├── tool/
│   │   │   ├── pack.tool.admin_security/
│   │   │   │   └── ui/
│   │   │   ├── pack.tool.control_debug/
│   │   │   │   └── ui/
│   │   │   ├── pack.tool.inspector/
│   │   │   │   ├── assets/
│   │   │   │   └── ui/
│   │   │   ├── pack.tool.log_viewer/
│   │   │   │   └── ui/
│   │   │   ├── pack.tool.navigation/
│   │   │   │   └── ui/
│   │   │   ├── pack.tool.time_control/
│   │   │   │   └── ui/
│   │   │   ├── workspace.observer.truth/
│   │   │   │   └── ui/
│   │   │   ├── workspace.player.diegetic_default/
│   │   │   │   └── ui/
│   │   │   └── workspace.spectator.limited/
│   │   │       └── ui/
│   │   └── worldgen/
│   │       ├── org.dominium.worldgen.anchors.planetary/
│   │       │   ├── data/
│   │       │   └── docs/
│   │       ├── org.dominium.worldgen.anchors.system/
│   │       │   ├── data/
│   │       │   └── docs/
│   │       ├── org.dominium.worldgen.base.body/
│   │       │   └── content/
│   │       ├── org.dominium.worldgen.base.cosmology/
│   │       │   └── content/
│   │       ├── org.dominium.worldgen.base.galaxy/
│   │       │   └── content/
│   │       ├── org.dominium.worldgen.base.surface_micro/
│   │       │   └── content/
│   │       ├── org.dominium.worldgen.base.system/
│   │       │   └── content/
│   │       ├── org.dominium.worldgen.minimal/
│   │       │   ├── data/
│   │       │   └── docs/
│   │       ├── org.dominium.worldgen.real.earth_macro/
│   │       │   └── content/
│   │       ├── org.dominium.worldgen.real.milkyway/
│   │       │   └── content/
│   │       └── org.dominium.worldgen.real.sol/
│   │           └── content/
│   ├── profiles/
│   │   └── bundles/
│   └── templates/
│       └── session/
├── contracts/
│   ├── abi/
│   │   ├── contracts/
│   │   │   └── include/
│   │   │       └── dom_contracts/
│   │   ├── dom_contracts/
│   │   │   └── include/
│   │   │       └── dom_contracts/
│   │   │           ├── _internal/
│   │   │           ├── app/
│   │   │           └── dom_shared/
│   │   └── reality/
│   ├── audit/
│   │   └── convergence_steps/
│   ├── baselines/
│   │   ├── trust/
│   │   └── universe/
│   ├── blueprint/
│   ├── capability/
│   ├── compatibility/
│   ├── distribution/
│   ├── governance/
│   ├── install/
│   ├── instance/
│   ├── lock/
│   ├── meta/
│   ├── package/
│   │   ├── bundles/
│   │   ├── locks/
│   │   └── packs/
│   ├── planning/
│   │   ├── checkpoints/
│   │   ├── readiness/
│   │   ├── reality/
│   │   └── reconciliation/
│   ├── projection/
│   │   └── ide/
│   │       └── examples/
│   ├── protocol/
│   ├── reality/
│   ├── registry/
│   │   ├── architecture/
│   │   ├── planning/
│   │   │   └── readiness/
│   │   ├── reality/
│   │   ├── release/
│   │   └── runtime/
│   ├── release/
│   ├── replay/
│   ├── repo/
│   │   └── repox/
│   │       └── rulesets/
│   ├── restructure/
│   ├── save/
│   ├── schema/
│   │   ├── agents/
│   │   ├── astro/
│   │   ├── authority/
│   │   ├── blueprint/
│   │   ├── capability/
│   │   ├── client/
│   │   ├── compatibility/
│   │   ├── deprecation/
│   │   ├── distribution/
│   │   ├── domain/
│   │   │   ├── chemistry/
│   │   │   ├── civilization/
│   │   │   ├── electricity/
│   │   │   ├── flow/
│   │   │   ├── fluids/
│   │   │   ├── geology/
│   │   │   ├── hazards/
│   │   │   ├── materials/
│   │   │   ├── modeling/
│   │   │   ├── network/
│   │   │   ├── spatial/
│   │   │   └── technology/
│   │   ├── earth/
│   │   ├── economy/
│   │   ├── ecs/
│   │   ├── embodiment/
│   │   ├── engine/
│   │   │   ├── component/
│   │   │   ├── constraint/
│   │   │   ├── partition/
│   │   │   ├── schedule/
│   │   │   └── state/
│   │   ├── examples/
│   │   ├── execution/
│   │   ├── existence/
│   │   ├── fields/
│   │   ├── from-root-schemas/
│   │   ├── governance/
│   │   ├── identity/
│   │   ├── infrastructure/
│   │   ├── inspection/
│   │   ├── install/
│   │   ├── integrity/
│   │   ├── interaction/
│   │   ├── interior/
│   │   ├── ipc/
│   │   ├── knowledge/
│   │   ├── law/
│   │   ├── lens/
│   │   ├── life/
│   │   ├── logic/
│   │   ├── logistics/
│   │   ├── machines/
│   │   ├── mechanics/
│   │   ├── meta/
│   │   ├── mobility/
│   │   ├── modding/
│   │   ├── package/
│   │   │   ├── artifact/
│   │   │   ├── bundle/
│   │   │   ├── modding/
│   │   │   └── provides/
│   │   ├── performance/
│   │   ├── physics/
│   │   ├── planning/
│   │   │   └── reality/
│   │   ├── pollution/
│   │   ├── process/
│   │   ├── profile/
│   │   ├── reality/
│   │   ├── registry/
│   │   ├── release/
│   │   ├── repo/
│   │   │   └── migration/
│   │   ├── runtime/
│   │   │   ├── control/
│   │   │   ├── diagnostics/
│   │   │   ├── network/
│   │   │   ├── render/
│   │   │   └── storage/
│   │   ├── safety/
│   │   ├── save/
│   │   ├── scale/
│   │   ├── scenario/
│   │   ├── security/
│   │   ├── server/
│   │   ├── session/
│   │   ├── settings/
│   │   ├── shell/
│   │   ├── signals/
│   │   ├── survival/
│   │   ├── syscaps/
│   │   ├── system/
│   │   ├── thermal/
│   │   ├── time/
│   │   ├── tool/
│   │   ├── travel/
│   │   ├── ui/
│   │   ├── universe/
│   │   ├── validation/
│   │   │   └── specs/
│   │   ├── war/
│   │   ├── world/
│   │   └── worldgen/
│   ├── stability/
│   ├── templates/
│   ├── worldgen/
│   │   └── real/
│   │       ├── earth/
│   │       ├── milky_way/
│   │       └── sol_system/
│   └── xstack/
├── docs/
│   ├── apps/
│   │   ├── client/
│   │   ├── launcher/
│   │   ├── server/
│   │   └── setup/
│   ├── architecture/
│   │   └── system/
│   ├── archive/
│   │   ├── app/
│   │   ├── architecture/
│   │   ├── audit/
│   │   │   ├── auditx/
│   │   │   ├── compat/
│   │   │   ├── controlx/
│   │   │   ├── convergence_steps/
│   │   │   ├── perf/
│   │   │   ├── performance/
│   │   │   ├── remediation/
│   │   │   │   ├── anb-omega-empty-path/
│   │   │   │   │   ├── 20260211T215035Z_precheck_ok/
│   │   │   │   │   └── 20260211T220047Z_precheck_OTHER/
│   │   │   │   ├── vs2026/
│   │   │   │   │   ├── 20260211T080631Z_verify_DERIVED_ARTIFACT_STALE/
│   │   │   │   │   ├── 20260211T080838Z_verify_OTHER/
│   │   │   │   │   ├── 20260211T081813Z_verify_ok/
│   │   │   │   │   ├── 20260211T083343Z_verify_DERIVED_ARTIFACT_STALE/
│   │   │   │   │   ├── 20260211T090841Z_verify_OTHER/
│   │   │   │   │   ├── 20260211T111036Z_verify_OTHER/
│   │   │   │   │   ├── 20260211T121513Z_verify_ok/
│   │   │   │   │   ├── 20260211T130308Z_verify_ok/
│   │   │   │   │   ├── 20260211T163146Z_verify_OTHER/
│   │   │   │   │   ├── 20260211T233128Z_verify_ok/
│   │   │   │   │   ├── 20260212T143108Z_verify_ok/
│   │   │   │   │   ├── 20260213T052649Z_precheck_DERIVED_ARTIFACT_STALE/
│   │   │   │   │   ├── 20260213T054938Z_exitcheck_OTHER/
│   │   │   │   │   ├── 20260213T055921Z_exitcheck_OTHER/
│   │   │   │   │   ├── 20260213T063945Z_verify_DERIVED_ARTIFACT_STALE/
│   │   │   │   │   └── 20260213T075116Z_strict_ok/
│   │   │   │   └── ws-426fb129fc29daec/
│   │   │   │       ├── 20260226T070322Z_verify_DERIVED_ARTIFACT_STALE/
│   │   │   │       └── 20260226T070425Z_strict_BUILD_OUTPUT_MISSING/
│   │   │   ├── repox/
│   │   │   ├── security/
│   │   │   ├── system/
│   │   │   ├── testx/
│   │   │   └── xstack/
│   │   ├── blueprint/
│   │   ├── ci/
│   │   ├── guides/
│   │   ├── impact/
│   │   ├── omega/
│   │   ├── platform/
│   │   ├── post-canon/
│   │   ├── prompts/
│   │   ├── refactor/
│   │   ├── repox/
│   │   ├── restructure/
│   │   ├── specs/
│   │   └── stray_root_docs/
│   ├── canon/
│   ├── compatibility/
│   ├── content/
│   │   ├── archive/
│   │   │   ├── scenarios/
│   │   │   └── world/
│   │   │       ├── milky_way/
│   │   │       └── sol/
│   │   │           └── earth/
│   │   │               └── earth.imports/
│   │   ├── defaults/
│   │   ├── law/
│   │   ├── logs/
│   │   │   └── bugreports/
│   │   ├── modules/
│   │   ├── packs/
│   │   │   └── sol/
│   │   ├── standards/
│   │   └── world/
│   │       ├── milky_way/
│   │       └── sol/
│   │           └── earth/
│   │               └── earth.imports/
│   ├── development/
│   │   ├── aide/
│   │   ├── guides/
│   │   │   ├── api/
│   │   │   ├── book/
│   │   │   ├── context/
│   │   │   ├── dev/
│   │   │   ├── release/
│   │   │   └── ui_editor/
│   │   │       ├── fixtures/
│   │   │       └── ide/
│   │   │           ├── vscode/
│   │   │           └── xcode/
│   │   ├── templates/
│   │   ├── tools/
│   │   └── xstack/
│   ├── distribution/
│   │   └── package-format/
│   ├── domains/
│   │   ├── astronomy/
│   │   │   └── sol/
│   │   ├── chemistry/
│   │   ├── civilization/
│   │   ├── electricity/
│   │   ├── embodiment/
│   │   ├── fields/
│   │   ├── fluids/
│   │   ├── geology/
│   │   ├── infrastructure/
│   │   ├── interiors/
│   │   ├── knowledge/
│   │   ├── logic/
│   │   ├── materials/
│   │   ├── mechanics/
│   │   ├── mobility/
│   │   ├── physics/
│   │   │   └── physical/
│   │   ├── pollution/
│   │   ├── processes/
│   │   ├── reality/
│   │   ├── scale/
│   │   ├── signals/
│   │   ├── thermal/
│   │   ├── universe/
│   │   └── worldgen/
│   ├── engine/
│   │   └── time/
│   ├── game/
│   │   ├── agents/
│   │   ├── diegetics/
│   │   ├── epistemics/
│   │   ├── gameplay/
│   │   ├── interaction/
│   │   ├── player/
│   │   └── realities/
│   ├── governance/
│   │   ├── control/
│   │   ├── meta/
│   │   └── policies/
│   ├── modding/
│   ├── operations/
│   ├── performance/
│   ├── planning/
│   │   └── generated-data/
│   │       └── checkpoints/
│   ├── reference/
│   │   ├── contracts/
│   │   ├── examples/
│   │   │   ├── false_science/
│   │   │   ├── lost_civilization/
│   │   │   ├── magic_earth/
│   │   │   ├── multicosmology/
│   │   │   └── realistic_earth/
│   │   ├── glossary/
│   │   ├── schema/
│   │   └── specs/
│   │       ├── core/
│   │       ├── launcher/
│   │       ├── reality/
│   │       └── setup/
│   ├── release/
│   │   ├── mvp/
│   │   ├── roadmap/
│   │   └── updates/
│   ├── repo/
│   │   ├── audits/
│   │   ├── data/
│   │   ├── repox/
│   │   └── root-recycling/
│   ├── runtime/
│   │   ├── diagnostics/
│   │   ├── network/
│   │   ├── platform/
│   │   ├── render/
│   │   │   └── visualization/
│   │   ├── settings/
│   │   ├── shell/
│   │   ├── storage/
│   │   └── ui/
│   │       ├── accessibility/
│   │       └── ux/
│   ├── safety/
│   ├── security/
│   └── testing/
│       ├── ci/
│       └── validation/
├── engine/
│   ├── concurrency/
│   ├── execution/
│   │   ├── budgets/
│   │   ├── ir/
│   │   ├── kernels/
│   │   │   ├── gpu/
│   │   │   ├── scalar/
│   │   │   └── simd/
│   │   └── scheduler/
│   ├── include/
│   │   └── domino/
│   │       ├── core/
│   │       ├── ecs/
│   │       ├── execution/
│   │       ├── scale/
│   │       ├── sim/
│   │       ├── state/
│   │       ├── sys/
│   │       └── system/
│   ├── kernel/
│   ├── replay/
│   ├── state/
│   │   ├── ecs/
│   │   ├── graph/
│   │   │   └── part/
│   │   └── state/
│   └── time/
├── game/
│   ├── domain/
│   │   ├── agent/
│   │   ├── ai/
│   │   ├── astronomy/
│   │   │   ├── ephemeris/
│   │   │   ├── illumination/
│   │   │   └── views/
│   │   ├── chemistry/
│   │   │   └── degradation/
│   │   ├── city/
│   │   ├── decor/
│   │   ├── diegetics/
│   │   ├── economy/
│   │   ├── electricity/
│   │   │   ├── fault/
│   │   │   ├── protection/
│   │   │   └── storage/
│   │   ├── embodiment/
│   │   │   ├── body/
│   │   │   ├── collision/
│   │   │   ├── lens/
│   │   │   ├── movement/
│   │   │   └── tools/
│   │   ├── environment/
│   │   ├── epistemics/
│   │   │   └── memory/
│   │   ├── fabrication/
│   │   ├── fields/
│   │   │   └── from_root_field/
│   │   ├── fluids/
│   │   │   └── network/
│   │   ├── geology/
│   │   │   ├── edit/
│   │   │   ├── frame/
│   │   │   ├── index/
│   │   │   ├── kernel/
│   │   │   ├── lens/
│   │   │   ├── metric/
│   │   │   ├── overlay/
│   │   │   ├── path/
│   │   │   ├── projection/
│   │   │   ├── render/
│   │   │   └── worldgen/
│   │   ├── governance/
│   │   ├── hydrology/
│   │   ├── infrastructure/
│   │   │   └── formalization/
│   │   ├── inspection/
│   │   ├── interaction/
│   │   │   ├── mount/
│   │   │   ├── pose/
│   │   │   └── task/
│   │   ├── interior/
│   │   ├── job/
│   │   ├── knowledge/
│   │   ├── life/
│   │   ├── logic/
│   │   │   ├── compile/
│   │   │   ├── debug/
│   │   │   ├── element/
│   │   │   ├── eval/
│   │   │   ├── fault/
│   │   │   ├── network/
│   │   │   ├── noise/
│   │   │   ├── protocol/
│   │   │   ├── signal/
│   │   │   └── timing/
│   │   ├── logistics/
│   │   ├── machines/
│   │   ├── materials/
│   │   │   ├── commitments/
│   │   │   ├── construction/
│   │   │   ├── maintenance/
│   │   │   ├── materialization/
│   │   │   ├── performance/
│   │   │   └── provenance/
│   │   ├── mechanics/
│   │   ├── mobility/
│   │   │   ├── geometry/
│   │   │   ├── maintenance/
│   │   │   ├── micro/
│   │   │   ├── network/
│   │   │   ├── signals/
│   │   │   ├── traffic/
│   │   │   ├── travel/
│   │   │   └── vehicle/
│   │   ├── physics/
│   │   │   ├── energy/
│   │   │   └── entropy/
│   │   ├── player/
│   │   ├── pollution/
│   │   ├── population/
│   │   ├── processes/
│   │   │   ├── capsules/
│   │   │   ├── drift/
│   │   │   ├── maturity/
│   │   │   ├── qc/
│   │   │   ├── research/
│   │   │   └── software/
│   │   ├── reality/
│   │   │   ├── ledger/
│   │   │   └── transitions/
│   │   ├── research/
│   │   ├── resource/
│   │   ├── scale/
│   │   ├── signals/
│   │   │   ├── addressing/
│   │   │   ├── aggregation/
│   │   │   ├── institutions/
│   │   │   ├── transport/
│   │   │   └── trust/
│   │   ├── simulation/
│   │   │   ├── act/
│   │   │   ├── lod/
│   │   │   └── pkt/
│   │   │       ├── idmap/
│   │   │       └── registry/
│   │   ├── structure/
│   │   ├── survival/
│   │   ├── systems/
│   │   │   ├── certification/
│   │   │   ├── forensics/
│   │   │   ├── macro/
│   │   │   ├── reliability/
│   │   │   ├── roi/
│   │   │   ├── statevec/
│   │   │   ├── templates/
│   │   │   └── ups/
│   │   ├── technology/
│   │   ├── thermal/
│   │   │   └── network/
│   │   ├── transport/
│   │   ├── universe/
│   │   ├── war/
│   │   └── worldgen/
│   │       ├── core/
│   │       ├── earth/
│   │       │   ├── lighting/
│   │       │   ├── material/
│   │       │   ├── sky/
│   │       │   ├── water/
│   │       │   └── wind/
│   │       ├── galaxy/
│   │       ├── mw/
│   │       └── refinement/
│   ├── include/
│   │   ├── dominium/
│   │   │   ├── agents/
│   │   │   ├── city/
│   │   │   ├── economy/
│   │   │   ├── execution/
│   │   │   ├── fab/
│   │   │   ├── game/
│   │   │   ├── governance/
│   │   │   ├── infrastructure/
│   │   │   ├── knowledge/
│   │   │   ├── law/
│   │   │   ├── life/
│   │   │   ├── logistics/
│   │   │   ├── mods/
│   │   │   ├── physical/
│   │   │   ├── population/
│   │   │   ├── scale/
│   │   │   ├── session/
│   │   │   ├── sim/
│   │   │   ├── survival/
│   │   │   ├── technology/
│   │   │   └── war/
│   │   └── domino/
│   │       └── world/
│   ├── law/
│   │   └── authority/
│   ├── rule/
│   │   ├── execution/
│   │   ├── orchestration/
│   │   └── policy/
│   └── world/
│       └── frame/
├── release/
│   ├── packaging/
│   │   └── setup/
│   │       └── scripts/
│   │           ├── ci/
│   │           ├── diagnostics/
│   │           ├── packaging/
│   │           │   ├── linux/
│   │           │   │   ├── deb/
│   │           │   │   │   └── DEBIAN/
│   │           │   │   └── rpm/
│   │           │   ├── macos/
│   │           │   │   ├── Dominium.app/
│   │           │   │   │   └── Contents/
│   │           │   │   └── pkg_scripts/
│   │           │   ├── scripts/
│   │           │   ├── tests/
│   │           │   └── windows/
│   │           ├── release/
│   │           ├── repro/
│   │           └── setup/
│   └── updates/
├── runtime/
│   ├── audio/
│   ├── capability/
│   │   ├── compatibility/
│   │   ├── core/
│   │   ├── effects/
│   │   ├── fidelity/
│   │   └── negotiation/
│   ├── diagnostics/
│   ├── include/
│   │   ├── domino/
│   │   │   ├── app/
│   │   │   ├── cli/
│   │   │   ├── gui/
│   │   │   ├── input/
│   │   │   ├── io/
│   │   │   ├── pkg/
│   │   │   ├── render/
│   │   │   └── tui/
│   │   └── render/
│   │       └── null/
│   ├── input/
│   │   └── client/
│   ├── network/
│   │   ├── client/
│   │   └── server/
│   │       └── shard/
│   ├── package/
│   │   ├── content/
│   │   └── mod/
│   ├── platform/
│   │   ├── system/
│   │   │   ├── input/
│   │   │   └── plat/
│   │   │       ├── cocoa/
│   │   │       ├── posix/
│   │   │       ├── sdl1/
│   │   │       ├── wayland/
│   │   │       └── x11/
│   │   └── win32/
│   │       ├── client/
│   │       ├── launcher/
│   │       │   └── win32/
│   │       ├── server/
│   │       ├── setup/
│   │       │   └── win32/
│   │       ├── shell/
│   │       └── ui/
│   │           ├── dui/
│   │           ├── include/
│   │           │   └── dui/
│   │           └── ir/
│   ├── render/
│   │   ├── backend/
│   │   ├── client/
│   │   │   └── presentation/
│   │   ├── null/
│   │   └── software/
│   ├── shell/
│   │   ├── client/
│   │   │   ├── command/
│   │   │   ├── modes/
│   │   │   └── session/
│   │   ├── command/
